Model,Zone,Feature,Importance
XGBoost,Zone_2_Power_Consumption,Hour,0.0007413614075630903
XGBoost,Zone_2_Power_Consumption,Humidity,8.769712439971045e-05
XGBoost,Zone_2_Power_Consumption,Is_Peak_Hour,0.001848320011049509
XGBoost,Zone_2_Power_Consumption,Is_Weekend,0.00129229505546391
XGBoost,Zone_2_Power_Consumption,Month,0.00040650859591551125
XGBoost,Zone_2_Power_Consumption,Quarter,0.0
XGBoost,Zone_2_Power_Consumption,Season_Autumn,0.0
XGBoost,Zone_2_Power_Consumption,Season_Spring,0.0002806649717967957
XGBoost,Zone_2_Power_Consumption,Season_Summer,0.0
XGBoost,Zone_2_Power_Consumption,Season_Winter,0.0
XGBoost,Zone_2_Power_Consumption,Temp_Humidity_Index,0.00011145749886054546
XGBoost,Zone_2_Power_Consumption,Temperature,0.00016258031246252358
XGBoost,Zone_2_Power_Consumption,Wind_Speed,8.527716272510588e-05
XGBoost,Zone_2_Power_Consumption,Zone_1_lag_1,0.00046376188402064145
XGBoost,Zone_2_Power_Consumption,Zone_1_lag_144,0.0007541451486758888
XGBoost,Zone_2_Power_Consumption,Zone_1_lag_6,0.0007711353828199208
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_max_1h,0.00030912351212464273
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_max_24h,0.00010388746159151196
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_mean_1h,0.0005104041774757206
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_mean_24h,0.000187345125596039
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_min_1h,0.0003426568291615695
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_min_24h,0.00015814238577149808
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_std_1h,0.0005464891437441111
XGBoost,Zone_2_Power_Consumption,Zone_1_roll_std_24h,0.00010116220801137388
XGBoost,Zone_2_Power_Consumption,Zone_2_lag_1,0.6233990788459778
XGBoost,Zone_2_Power_Consumption,Zone_2_lag_144,0.008377093821763992
XGBoost,Zone_2_Power_Consumption,Zone_2_lag_6,0.0023526481818407774
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_max_1h,0.0698281079530716
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_max_24h,0.00031355288228951395
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_mean_1h,0.26382267475128174
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_mean_24h,0.0004658022371586412
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_min_1h,0.007280144840478897
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_min_24h,0.0004513532330747694
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_std_1h,0.0005386970588006079
XGBoost,Zone_2_Power_Consumption,Zone_2_roll_std_24h,0.00018581125186756253
XGBoost,Zone_2_Power_Consumption,Zone_3_lag_1,0.0002114497183356434
XGBoost,Zone_2_Power_Consumption,Zone_3_lag_144,0.0007824097410775721
XGBoost,Zone_2_Power_Consumption,Zone_3_lag_6,0.0009576064185239375
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_max_1h,0.0004463103541638702
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_max_24h,0.0001990225719055161
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_mean_1h,0.0012025771429762244
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_mean_24h,0.00018363285926170647
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_min_1h,0.00038456369657069445
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_min_24h,0.00013176919310353696
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_std_1h,0.0013163442490622401
XGBoost,Zone_2_Power_Consumption,Zone_3_roll_std_24h,0.0002486423763912171
Random Forest,Zone_3_Power_Consumption,Day_of_Week,1.2809443944352255e-05
Random Forest,Zone_3_Power_Consumption,Diffuse_Flows,0.00041200295439847227
Random Forest,Zone_3_Power_Consumption,General_Diffuse_Flows,0.0004351215155130257
Random Forest,Zone_3_Power_Consumption,Hour,0.00012049191042511878
Random Forest,Zone_3_Power_Consumption,Humidity,3.378828951698804e-05
Random Forest,Zone_3_Power_Consumption,Is_Peak_Hour,2.558735199153355e-05
Random Forest,Zone_3_Power_Consumption,Is_Weekend,1.9421805713337604e-06
Random Forest,Zone_3_Power_Consumption,Month,0.0001325287459689086
Random Forest,Zone_3_Power_Consumption,Quarter,2.6797693320944047e-05
Random Forest,Zone_3_Power_Consumption,Season_Autumn,1.1218930628939667e-06
Random Forest,Zone_3_Power_Consumption,Season_Spring,4.063793514313339e-06
Random Forest,Zone_3_Power_Consumption,Season_Summer,5.40063040482408e-06
Random Forest,Zone_3_Power_Consumption,Season_Winter,1.2392375686866037e-06
Random Forest,Zone_3_Power_Consumption,Temp_Humidity_Index,5.3824400038255416e-05
Random Forest,Zone_3_Power_Consumption,Temperature,5.1364427518495226e-05
Random Forest,Zone_3_Power_Consumption,Wind_Speed,3.977091469113431e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_lag_1,4.891829194960075e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_lag_144,8.461798549440992e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_lag_6,3.8597317509501936e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_max_1h,2.5359095345838164e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_max_24h,2.810953703472672e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_mean_1h,2.777817067384852e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_mean_24h,3.270194061076049e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_min_1h,2.9786624810241393e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_min_24h,3.504690633376418e-05
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_std_1h,0.000102505477146604
Random Forest,Zone_3_Power_Consumption,Zone_1_roll_std_24h,3.52859504026362e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_lag_1,3.900008435066831e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_lag_144,9.283121343384553e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_lag_6,2.0368675058627625e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_max_1h,3.094406355327378e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_max_24h,2.6398571948892368e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_mean_1h,2.6076741428799902e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_mean_24h,2.9438301433947368e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_min_1h,1.9038889629847233e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_min_24h,2.2722056590703576e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_std_1h,8.520161149402115e-05
Random Forest,Zone_3_Power_Consumption,Zone_2_roll_std_24h,3.5091581110596735e-05
Random Forest,Zone_3_Power_Consumption,Zone_3_lag_1,0.6702828364134116
Random Forest,Zone_3_Power_Consumption,Zone_3_lag_144,0.22158228384735756
Random Forest,Zone_3_Power_Consumption,Zone_3_lag_6,0.0003439316905021841
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_max_1h,0.05040348594128861
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_max_24h,5.862676111879892e-05
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_mean_1h,0.05063823245384608
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_mean_24h,9.09777720084659e-05
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_min_1h,0.00396192574544788
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_min_24h,4.449511015485679e-05
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_std_1h,0.00025394432433791013
Random Forest,Zone_3_Power_Consumption,Zone_3_roll_std_24h,6.558547073169224e-05
XGBoost,Zone_3_Power_Consumption,Day_of_Week,0.0001564885606057942
XGBoost,Zone_3_Power_Consumption,Diffuse_Flows,0.002361834282055497
XGBoost,Zone_3_Power_Consumption,General_Diffuse_Flows,0.001746593276038766
XGBoost,Zone_3_Power_Consumption,Hour,0.0006996815791353583
XGBoost,Zone_3_Power_Consumption,Humidity,4.0653008909430355e-05
XGBoost,Zone_3_Power_Consumption,Is_Peak_Hour,0.0014812808949500322
XGBoost,Zone_3_Power_Consumption,Is_Weekend,0.00020453374600037932
XGBoost,Zone_3_Power_Consumption,Month,0.0019610964227467775
XGBoost,Zone_3_Power_Consumption,Quarter,0.004836007487028837
XGBoost,Zone_3_Power_Consumption,Season_Autumn,9.110513929044828e-05
XGBoost,Zone_3_Power_Consumption,Season_Spring,0.0
XGBoost,Zone_3_Power_Consumption,Season_Summer,0.00014348045806400478
XGBoost,Zone_3_Power_Consumption,Season_Winter,0.0
XGBoost,Zone_3_Power_Consumption,Temp_Humidity_Index,7.81233684392646e-05
XGBoost,Zone_3_Power_Consumption,Temperature,0.0005810054135508835
XGBoost,Zone_3_Power_Consumption,Wind_Speed,6.29695423413068e-05
XGBoost,Zone_3_Power_Consumption,Zone_1_lag_1,0.00037230513407848775
XGBoost,Zone_3_Power_Consumption,Zone_1_lag_144,0.0003236931224819273
XGBoost,Zone_3_Power_Consumption,Zone_1_lag_6,0.00037326719029806554
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_max_1h,0.00042407604632899165
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_max_24h,9.168083488475531e-05
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_mean_1h,0.0002713087305892259
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_mean_24h,9.628077532397583e-05
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_min_1h,0.00017331521667074412
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_min_24h,0.0001462735526729375
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_std_1h,0.0005091014318168163
XGBoost,Zone_3_Power_Consumption,Zone_1_roll_std_24h,0.00014027829456608742
XGBoost,Zone_3_Power_Consumption,Zone_2_lag_1,0.00018420099513605237
XGBoost,Zone_3_Power_Consumption,Zone_2_lag_144,0.0003690341836772859
XGBoost,Zone_3_Power_Consumption,Zone_2_lag_6,0.00010696342360461131
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_max_1h,0.0005665146163664758
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_max_24h,0.00016591242456343025
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_mean_1h,0.00044599309330806136
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_mean_24h,0.00013596346252597868
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_min_1h,8.068813622230664e-05
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_min_24h,0.0001767461362760514
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_std_1h,0.0003823809092864394
XGBoost,Zone_3_Power_Consumption,Zone_2_roll_std_24h,0.0001416323648300022
XGBoost,Zone_3_Power_Consumption,Zone_3_lag_1,0.784805417060852
XGBoost,Zone_3_Power_Consumption,Zone_3_lag_144,0.18431603908538818
XGBoost,Zone_3_Power_Consumption,Zone_3_lag_6,0.0020074404310435057
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_max_1h,0.0013125985860824585
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_max_24h,0.0007647390593774617
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_mean_1h,0.0015078096184879541
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_mean_24h,0.0005318623152561486
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_min_1h,0.0034834023099392653
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_min_24h,0.0001939882495207712
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_std_1h,0.0006680672522634268
XGBoost,Zone_3_Power_Consumption,Zone_3_roll_std_24h,0.00028612997266463935
